The result is same! - Japanese: 乳癌, ニュウガン, ニュウガン, にゅうがん
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 心房細動, シンボウサイドウ, シンボウサイドウ, しんぼうさいどう
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is same! - Japanese: 増悪, ゾウアク, ゾウアク, ぞうあく
The result is same! - Japanese: 開放, カイホウ, カイホウ, かいほう
The result is same! - Japanese: 骨折, コッセツ, コッセツ, こっせつ
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 右肺, ミギハイ, ミギハイ, みぎはい
The result is same! - Japanese: 腺癌, センガン, センガン, せんがん
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is same! - Japanese: 球菌, キュウキン, キュウキン, きゅうきん
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 血液, ケツエキ, ケツエキ, けつえき
The result is same! - Japanese: 疾患, シッカン, シッカン, しっかん
The result is same! - Japanese: 悪性, アクセイ, アクセイ, あくせい
The result is same! - Japanese: 細胞, サイボウ, サイボウ, さいぼう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 骨粗鬆症, コツソショウショウ, コツソショウショウ, こつそしょうしょう
The result is same! - Japanese: 頭部, トウブ, トウブ, とうぶ
The result is same! - Japanese: 外傷, ガイショウ, ガイショウ, がいしょう
The result is same! - Japanese: てんかん, テンカン, テンカン, てんかん
The result is same! - Japanese: 子宮, シキュウ, シキュウ, しきゅう
The result is different! - Japanese: 頸癌, , ケイガン, けいがん
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is different! - Japanese: 食思, ショクシタウ, ショクシ, しょくし
The result is same! - Japanese: 不振, フシン, フシン, ふしん
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is different! - Japanese: 副鼻腔炎, フクビクウエン, フクビコウエン, ふくびこうえん
The result is same! - Japanese: 心房細動, シンボウサイドウ, シンボウサイドウ, しんぼうさいどう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is different! - Japanese: 縦隔, タテ, ジュウカク, じゅうかく
The result is same! - Japanese: 腫瘍, シュヨウ, シュヨウ, しゅよう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is different! - Japanese: 軟部, , ナンブ, なんぶ
The result is same! - Japanese: 肉腫, ニクシュ, ニクシュ, にくしゅ
The result is same! - Japanese: 嚥下, エンカ, エンカ, えんか
The result is same! - Japanese: 障害, ショウガイ, ショウガイ, しょうがい
The result is different! - Japanese: 構音, カマエオト, コウオン, こうおん
The result is same! - Japanese: 障害, ショウガイ, ショウガイ, しょうがい
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 眼瞼, ガンケン, ガンケン, がんけん
The result is same! - Japanese: 下垂, カスイ, カスイ, かすい
The result is same! - Japanese: 外, ソト, ソト, そと
The result is same! - Japanese: 尿道, ニョウドウ, ニョウドウ, にょうどう
The result is same! - Japanese: 口, クチ, クチ, くち
The result is same! - Japanese: 下腹部, カフクブ, カフクブ, かふくぶ
The result is different! - Japanese: 痛, イタ, ツウ, つう
The result is same! - Japanese: 胎動, タイドウ, タイドウ, たいどう
The result is same! - Japanese: 消失, ショウシツ, ショウシツ, しょうしつ
The result is same! - Japanese: けいれん, ケイレン, ケイレン, けいれん
The result is same! - Japanese: 洞, ホラ, ホラ, ほら
The result is same! - Japanese: 性, セイ, セイ, せい
The result is different! - Japanese: 頻脈, シキミャク, ヒンミャク, ひんみゃく
The result is same! - Japanese: 帯状疱疹, タイジョウホウシン, タイジョウホウシン, たいじょうほうしん
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 乾性, カンセイ, カンセイ, かんせい
The result is same! - Japanese: 咳嗽, ガイソウ, ガイソウ, がいそう
The result is same! - Japanese: 帯状疱疹, タイジョウホウシン, タイジョウホウシン, たいじょうほうしん
The result is different! - Japanese: 膵頭, , スイトウ, すいとう
The result is same! - Japanese: 部, ブ, ブ, ぶ
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 悪液, アクエキ, アクエキ, あくえき
The result is same! - Japanese: 質, シツ, シツ, しつ
The result is same! - Japanese: 呼吸困難, コキュウコンナン, コキュウコンナン, こきゅうこんなん
The result is same! - Japanese: 胸, ムネ, ムネ, むね
The result is same! - Japanese: 背部, ハイブ, ハイブ, はいぶ
The result is different! - Japanese: 痛, イタ, ツウ, つう
The result is same! - Japanese: 息苦しさ, イキグルシサ, イキグルシサ, いきぐるしさ
The result is same! - Japanese: 眼瞼, ガンケン, ガンケン, がんけん
The result is same! - Japanese: 下垂, カスイ, カスイ, かすい
The result is same! - Japanese: 期, キ, キ, き
The result is same! - Japanese: 外, ソト, ソト, そと
The result is same! - Japanese: 収縮, シュウシュク, シュウシュク, しゅうしゅく
The result is same! - Japanese: 骨粗鬆症, コツソショウショウ, コツソショウショウ, こつそしょうしょう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 心筋梗塞, シンキンコウソク, シンキンコウソク, しんきんこうそく
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 呼吸困難, コキュウコンナン, コキュウコンナン, こきゅうこんなん
Non-Japanese: COPD
The result is same! - Japanese: 子宮, シキュウ, シキュウ, しきゅう
The result is same! - Japanese: 筋腫, キンシュ, キンシュ, きんしゅ
The result is different! - Japanese: 構音, カマエオト, コウオン, こうおん
The result is same! - Japanese: 障害, ショウガイ, ショウガイ, しょうがい
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 胸, ムネ, ムネ, むね
The result is same! - Japanese: 背部, ハイブ, ハイブ, はいぶ
The result is different! - Japanese: 痛, イタ, ツウ, つう
The result is different! - Japanese: 左片, ヒダリヘン, サヘン, さへん
The result is same! - Japanese: 麻痺, マヒ, マヒ, まひ
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 骨粗鬆症, コツソショウショウ, コツソショウショウ, こつそしょうしょう
The result is same! - Japanese: 明細, メイサイ, メイサイ, めいさい
The result is different! - Japanese: 胞, , ホウ, ほう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 心房細動, シンボウサイドウ, シンボウサイドウ, しんぼうさいどう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 骨粗鬆症, コツソショウショウ, コツソショウショウ, こつそしょうしょう
The result is same! - Japanese: 喘息, ゼンソク, ゼンソク, ぜんそく
The result is same! - Japanese: 発作, ホッサ, ホッサ, ほっさ
The result is same! - Japanese: 子宮, シキュウ, シキュウ, しきゅう
The result is different! - Japanese: 体癌, カラダガン, タイガン, たいがん
The result is same! - Japanese: 胸部, キョウブ, キョウブ, きょうぶ
The result is same! - Japanese: 食道, ショクドウ, ショクドウ, しょくどう
The result is same! - Japanese: 癌, ガン, ガン, がん
Non-Japanese: 2
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 多発, タハツ, タハツ, たはつ
The result is same! - Japanese: 肝, キモ, キモ, きも
The result is same! - Japanese: 転移, テンイ, テンイ, てんい
The result is same! - Japanese: 多発, タハツ, タハツ, たはつ
The result is same! - Japanese: 肺, ハイ, ハイ, はい
The result is same! - Japanese: 転移, テンイ, テンイ, てんい
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
Non-Japanese: 2
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
Non-Japanese: S
The result is same! - Japanese: 状, ジョウ, ジョウ, じょう
The result is same! - Japanese: 結腸, ケッチョウ, ケッチョウ, けっちょう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 肝機能, カンキノウ, カンキノウ, かんきのう
The result is same! - Japanese: 障害, ショウガイ, ショウガイ, しょうがい
The result is same! - Japanese: 細菌, サイキン, サイキン, さいきん
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is same! - Japanese: 誤嚥, ゴエン, ゴエン, ごえん
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is different! - Japanese: 左腎, ヒダリジン, サジン, さじん
The result is same! - Japanese: 細胞, サイボウ, サイボウ, さいぼう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 間質, カンシツ, カンシツ, かんしつ
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is same! - Japanese: 虫垂炎, チュウスイエン, チュウスイエン, ちゅうすいえん
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 左, ヒダリ, ヒダリ, ひだり
The result is same! - Japanese: 視床, シショウ, シショウ, ししょう
The result is same! - Japanese: 出血, シュッケツ, シュッケツ, しゅっけつ
The result is same! - Japanese: 総, ソウ, ソウ, そう
The result is same! - Japanese: 胆管, タンカン, タンカン, たんかん
The result is same! - Japanese: 結石, ケッセキ, ケッセキ, けっせき
The result is different! - Japanese: 硬膜, カタマク, コウマク, こうまく
The result is different! - Japanese: 下血, シモチ, ゲケツ, げけつ
The result is same! - Japanese: 腫, シュ, シュ, しゅ
The result is same! - Japanese: 右, ミギ, ミギ, みぎ
The result is same! - Japanese: 半身, ハンシン, ハンシン, はんしん
The result is same! - Japanese: 麻痺, マヒ, マヒ, まひ
The result is same! - Japanese: 食道, ショクドウ, ショクドウ, しょくどう
The result is same! - Japanese: 静脈, ジョウミャク, ジョウミャク, じょうみゃく
The result is same! - Japanese: 瘤, コブ, コブ, こぶ
The result is same! - Japanese: 結核, ケッカク, ケッカク, けっかく
The result is same! - Japanese: 感染症, カンセンショウ, カンセンショウ, かんせんしょう
The result is same! - Japanese: 多発, タハツ, タハツ, たはつ
The result is same! - Japanese: 肺, ハイ, ハイ, はい
The result is same! - Japanese: 転移, テンイ, テンイ, てんい
The result is same! - Japanese: 右, ミギ, ミギ, みぎ
The result is same! - Japanese: 腎, ジン, ジン, じん
The result is same! - Japanese: 細胞, サイボウ, サイボウ, さいぼう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: チアノーゼ, チアノーゼ, チアノーゼ, ちあのーぜ
The result is same! - Japanese: ドライアイ, ドライアイ, ドライアイ, どらいあい
The result is same! - Japanese: 微小, ビショウ, ビショウ, びしょう
The result is same! - Japanese: 変化, ヘンカ, ヘンカ, へんか
The result is same! - Japanese: 群, グン, グン, ぐん
The result is same! - Japanese: 気管, キカン, キカン, きかん
The result is different! - Japanese: 支, サソオ, シ, し
The result is same! - Japanese: 喘息, ゼンソク, ゼンソク, ぜんそく
The result is same! - Japanese: 左, ヒダリ, ヒダリ, ひだり
The result is same! - Japanese: 共同, キョウドウ, キョウドウ, きょうどう
The result is same! - Japanese: 偏, ヘン, ヘン, へん
The result is different! - Japanese: 視, ミ, シ, し
The result is different! - Japanese: 高, コウ, タカ, たか
The result is same! - Japanese: 尿酸, ニョウサン, ニョウサン, にょうさん
The result is different! - Japanese: 血症, チショウ, ケッショウ, けっしょう
The result is different! - Japanese: 耐糖, ツヨシトウ, タイトウ, たいとう
The result is same! - Japanese: 能, ノウ, ノウ, のう
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 統合, トウゴウ, トウゴウ, とうごう
The result is same! - Japanese: 失調, シッチョウ, シッチョウ, しっちょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 小, ショウ, ショウ, しょう
The result is same! - Japanese: 細胞, サイボウ, サイボウ, さいぼう
The result is same! - Japanese: 肺癌, ハイガン, ハイガン, はいがん
The result is same! - Japanese: 類内, ルイナイ, ルイナイ, るいない
The result is same! - Japanese: 膜, マク, マク, まく
The result is same! - Japanese: 腺癌, センガン, センガン, せんがん
The result is different! - Japanese: 頸, , ケイ, けい
The result is same! - Japanese: 胸椎, キョウツイ, キョウツイ, きょうつい
The result is same! - Japanese: 転移, テンイ, テンイ, てんい
The result is same! - Japanese: 小脳, ショウノウ, ショウノウ, しょうのう
The result is different! - Japanese: 低, ヒク, テイ, てい
The result is same! - Japanese: 形成, ケイセイ, ケイセイ, けいせい
The result is different! - Japanese: 上行, ウエコウ, ジョウギョウ, じょうぎょう
The result is same! - Japanese: 結腸, ケッチョウ, ケッチョウ, けっちょう
The result is same! - Japanese: 癌, ガン, ガン, がん
Non-Japanese: 1
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
Non-Japanese: HCV
The result is same! - Japanese: 抗体, コウタイ, コウタイ, こうたい
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
Non-Japanese: S
The result is same! - Japanese: 状, ジョウ, ジョウ, じょう
The result is same! - Japanese: 結腸, ケッチョウ, ケッチョウ, けっちょう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 扁平, ヘンペイ, ヘンペイ, へんぺい
The result is same! - Japanese: 上皮, ジョウヒ, ジョウヒ, じょうひ
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 下垂体, カスイタイ, カスイタイ, かすいたい
The result is same! - Japanese: 腺腫, センシュ, センシュ, せんしゅ
The result is same! - Japanese: 扁平, ヘンペイ, ヘンペイ, へんぺい
The result is same! - Japanese: 上皮, ジョウヒ, ジョウヒ, じょうひ
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 総, ソウ, ソウ, そう
The result is same! - Japanese: 胆管, タンカン, タンカン, たんかん
The result is same! - Japanese: 結石, ケッセキ, ケッセキ, けっせき
The result is same! - Japanese: 細菌, サイキン, サイキン, さいきん
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
Non-Japanese: 2
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 細菌, サイキン, サイキン, さいきん
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is same! - Japanese: 大腿骨, ダイタイコツ, ダイタイコツ, だいたいこつ
The result is same! - Japanese: 骨折, コッセツ, コッセツ, こっせつ
The result is same! - Japanese: チアノーゼ, チアノーゼ, チアノーゼ, ちあのーぜ
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 甲状腺, コウジョウセン, コウジョウセン, こうじょうせん
The result is same! - Japanese: 腫大, シュダイ, シュダイ, しゅだい
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 腎症, ジンショウ, ジンショウ, じんしょう
The result is same! - Japanese: 慢性, マンセイ, マンセイ, まんせい
The result is same! - Japanese: 腎不全, ジンフゼン, ジンフゼン, じんふぜん
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 誤嚥, ゴエン, ゴエン, ごえん
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is same! - Japanese: 仙骨, センコツ, センコツ, せんこつ
The result is same! - Japanese: 部, ブ, ブ, ぶ
The result is same! - Japanese: 褥瘡, ジョクソウ, ジョクソウ, じょくそう
The result is same! - Japanese: 閉塞, ヘイソク, ヘイソク, へいそく
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 黄疸, オウダン, オウダン, おうだん
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 間質, カンシツ, カンシツ, かんしつ
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
Non-Japanese: 2
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 胆嚢, タンノウ, タンノウ, たんのう
The result is same! - Japanese: 結石, ケッセキ, ケッセキ, けっせき
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 扁平, ヘンペイ, ヘンペイ, へんぺい
The result is same! - Japanese: 上皮, ジョウヒ, ジョウヒ, じょうひ
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 尿路, ニョウロ, ニョウロ, にょうろ
The result is same! - Japanese: 感染症, カンセンショウ, カンセンショウ, かんせんしょう
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 前立腺, ゼンリツセン, ゼンリツセン, ぜんりつせん
The result is same! - Japanese: 肥大, ヒダイ, ヒダイ, ひだい
The result is same! - Japanese: うっ, ウッ, ウッ, うっ
The result is same! - Japanese: 血, チ, チ, ち
The result is same! - Japanese: 乳頭, ニュウトウ, ニュウトウ, にゅうとう
The result is same! - Japanese: 尿, ニョウ, ニョウ, にょう
The result is different! - Japanese: 潜血, センチ, センケツ, せんけつ
The result is same! - Japanese: 陽性, ヨウセイ, ヨウセイ, ようせい
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is same! - Japanese: 虫垂炎, チュウスイエン, チュウスイエン, ちゅうすいえん
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 統合, トウゴウ, トウゴウ, とうごう
The result is same! - Japanese: 失調, シッチョウ, シッチョウ, しっちょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 血管, ケッカン, ケッカン, けっかん
The result is same! - Japanese: 線維, センイ, センイ, せんい
The result is same! - Japanese: 腫, シュ, シュ, しゅ
The result is same! - Japanese: チアノーゼ, チアノーゼ, チアノーゼ, ちあのーぜ
The result is same! - Japanese: 産後, サンゴ, サンゴ, さんご
The result is same! - Japanese: うつ, ウツ, ウツ, うつ
The result is different! - Japanese: 病, ヤマイ, ビョウ, びょう
Non-Japanese: 2
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
Non-Japanese: 2
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 膝蓋骨, シツガイコツ, シツガイコツ, しつがいこつ
The result is same! - Japanese: 骨折, コッセツ, コッセツ, こっせつ
The result is same! - Japanese: 広範囲, コウハンイ, コウハンイ, こうはんい
The result is same! - Japanese: 熱傷, ネッショウ, ネッショウ, ねっしょう
The result is different! - Japanese: 口腔内, コウコウナイ, コウクウナイ, こうくうない
The result is same! - Japanese: 潰瘍, カイヨウ, カイヨウ, かいよう
The result is same! - Japanese: 一過性, イッカセイ, イッカセイ, いっかせい
The result is same! - Japanese: 徐脈, ジョミャク, ジョミャク, じょみゃく
The result is same! - Japanese: 膿疱, ノウホウ, ノウホウ, のうほう
The result is same! - Japanese: 性, セイ, セイ, せい
The result is different! - Japanese: 皮疹, カワ, ヒシン, ひしん
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is same! - Japanese: 胃腸, イチョウ, イチョウ, いちょう
The result is same! - Japanese: 炎, ホノオ, ホノオ, ほのお
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 脂質, シシツ, シシツ, ししつ
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
Non-Japanese: S
The result is same! - Japanese: 状, ジョウ, ジョウ, じょう
The result is same! - Japanese: 結腸, ケッチョウ, ケッチョウ, けっちょう
The result is same! - Japanese: 癌, ガン, ガン, がん
Non-Japanese: 2
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
Non-Japanese: IgA
The result is same! - Japanese: 腎症, ジンショウ, ジンショウ, じんしょう
The result is same! - Japanese: 慢性, マンセイ, マンセイ, まんせい
The result is same! - Japanese: 腎不全, ジンフゼン, ジンフゼン, じんふぜん
The result is different! - Japanese: 上行, ウエコウ, ジョウギョウ, じょうぎょう
The result is same! - Japanese: 結腸, ケッチョウ, ケッチョウ, けっちょう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is same! - Japanese: 虫垂炎, チュウスイエン, チュウスイエン, ちゅうすいえん
The result is same! - Japanese: 不全, フゼン, フゼン, ふぜん
The result is different! - Japanese: 片麻, カタアサ, ヘンマ, へんま
The result is different! - Japanese: 痺, , ヒ, ひ
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is same! - Japanese: 虫垂炎, チュウスイエン, チュウスイエン, ちゅうすいえん
The result is same! - Japanese: 気管, キカン, キカン, きかん
The result is different! - Japanese: 支, サソオ, シ, し
The result is same! - Japanese: 喘息, ゼンソク, ゼンソク, ぜんそく
The result is same! - Japanese: 子宮, シキュウ, シキュウ, しきゅう
The result is different! - Japanese: 内膜, ウチマク, ナイマク, ないまく
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is different! - Japanese: 外転, ソトテン, ガイテン, がいてん
The result is same! - Japanese: 神経, シンケイ, シンケイ, しんけい
The result is same! - Japanese: 麻痺, マヒ, マヒ, まひ
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 緊急, キンキュウ, キンキュウ, きんきゅう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 甲状腺, コウジョウセン, コウジョウセン, こうじょうせん
The result is different! - Japanese: 髄様, ズイサマ, ズイヨウ, ずいよう
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 潰瘍, カイヨウ, カイヨウ, かいよう
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 大腸, ダイチョウ, ダイチョウ, だいちょう
The result is same! - Japanese: 炎, ホノオ, ホノオ, ほのお
The result is same! - Japanese: 口唇, コウシン, コウシン, こうしん
The result is same! - Japanese: ヘルペス, ヘルペス, ヘルペス, へるぺす
Non-Japanese: HIV
The result is same! - Japanese: 感染症, カンセンショウ, カンセンショウ, かんせんしょう
The result is different! - Japanese: 汎発, ヒロシハツ, ハンパツ, はんぱつ
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 腹膜炎, フクマクエン, フクマクエン, ふくまくえん
The result is same! - Japanese: 多発, タハツ, タハツ, たはつ
The result is different! - Japanese: 性骨, セイボネ, ショウボネ, しょうぼね
The result is same! - Japanese: 髄, ズイ, ズイ, ずい
The result is same! - Japanese: 腫, シュ, シュ, しゅ
The result is same! - Japanese: 関節, カンセツ, カンセツ, かんせつ
The result is same! - Japanese: リウマチ, リウマチ, リウマチ, りうまち
The result is same! - Japanese: 逆流, ギャクリュウ, ギャクリュウ, ぎゃくりゅう
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 食道, ショクドウ, ショクドウ, しょくどう
The result is same! - Japanese: 炎, ホノオ, ホノオ, ほのお
The result is same! - Japanese: 腰椎, ヨウツイ, ヨウツイ, ようつい
The result is same! - Japanese: 圧迫, アッパク, アッパク, あっぱく
The result is same! - Japanese: 骨折, コッセツ, コッセツ, こっせつ
The result is same! - Japanese: 関節, カンセツ, カンセツ, かんせつ
The result is same! - Japanese: リウマチ, リウマチ, リウマチ, りうまち
